season_id,team_id_home,team_abbreviation_home,team_name_home,game_id,game_date,matchup_home,team_id_away,team_abbreviation_away,team_name_away,matchup_away,fgm_home_cumulative_mean,fga_home_cumulative_mean,fg_pct_home_cumulative_mean,fg3m_home_cumulative_mean,fg3a_home_cumulative_mean,fg3_pct_home_cumulative_mean,ftm_home_cumulative_mean,fta_home_cumulative_mean,ft_pct_home_cumulative_mean,oreb_home_cumulative_mean,dreb_home_cumulative_mean,reb_home_cumulative_mean,ast_home_cumulative_mean,stl_home_cumulative_mean,blk_home_cumulative_mean,tov_home_cumulative_mean,pf_home_cumulative_mean,pts_home_cumulative_mean,plus_minus_home_cumulative_mean,fgm_away_cumulative_mean,fga_away_cumulative_mean,fg_pct_away_cumulative_mean,fg3m_away_cumulative_mean,fg3a_away_cumulative_mean,fg3_pct_away_cumulative_mean,ftm_away_cumulative_mean,fta_away_cumulative_mean,ft_pct_away_cumulative_mean,oreb_away_cumulative_mean,dreb_away_cumulative_mean,reb_away_cumulative_mean,ast_away_cumulative_mean,stl_away_cumulative_mean,blk_away_cumulative_mean,tov_away_cumulative_mean,pf_away_cumulative_mean,pts_away_cumulative_mean,plus_minus_away_cumulative_mean,total
22022,1610612740,NOP,New Orleans Pelicans,22200922,2023-02-27,NOP vs. ORL,1610612753,ORL,Orlando Magic,ORL @ NOP,41.51465798045603,88.1675197766403,0.4719683573755235,12.593764541647278,35.01489064681247,0.3593029315960912,17.777570963238716,22.826896230805026,0.7785072126570498,10.4253140995812,34.02931596091205,44.45463006049325,25.209865053513262,7.505351326198232,4.832480223359703,13.878548161935784,19.862726849697534,113.40065146579805,2.3531875290832946,40.714285714285715,88.10097719869707,0.4631758957654723,12.153559795253607,34.45788738948348,0.3514192647743137,17.465332712889715,22.49139134481154,0.7774108887854816,10.355514192647743,33.27454630060493,43.63006049325268,24.399255467659376,7.480688692415077,4.547696603071196,14.088878548161937,19.94695207073057,111.04746393671475,-2.3531875290832946,194.0
22022,1610612752,NYK,New York Knicks,22200921,2023-02-27,NYK vs. BOS,1610612738,BOS,Boston Celtics,BOS @ NYK,41.511162790697675,88.16186046511628,0.4719567441860465,12.590697674418605,35.011162790697675,0.35923906976744185,17.77813953488372,22.826976744186048,0.7785293023255814,10.424651162790697,34.026976744186044,44.451627906976746,25.208837209302324,7.506046511627907,4.831162790697674,13.88,19.865581395348837,113.39116279069768,2.3483720930232557,40.71209302325581,88.09674418604651,0.4631725581395349,12.152093023255814,34.457674418604654,0.3513790697674419,17.466511627906975,22.493023255813952,0.777406976744186,10.355813953488372,33.27395348837209,43.629767441860466,24.39767441860465,7.481395348837209,4.546046511627907,14.090232558139535,19.946976744186045,111.04279069767442,-2.3483720930232557,203.0
22022,1610612761,TOR,Toronto Raptors,22200925,2023-02-28,TOR vs. CHI,1610612741,CHI,Chicago Bulls,CHI @ TOR,41.509065550906556,88.15713621571362,0.47195769409576943,12.590423059042307,35.0092980009298,0.3592519758251976,17.780567178056717,22.83217108321711,0.7784816364481636,10.423059042305905,34.02835890283589,44.45141794514179,25.20641562064156,7.505346350534635,4.830311483031148,13.88052068805207,19.86145978614598,113.38912133891213,2.3542538354253835,40.71036727103673,88.09483960948396,0.4631617852161785,12.150627615062762,34.46118084611808,0.3513152022315202,17.463505346350534,22.489074848907485,0.7774109716410972,10.354253835425384,33.271501627150165,43.62575546257555,24.396094839609486,7.4802417480241745,4.547652254765225,14.089260808926081,19.94793119479312,111.03486750348675,-2.3542538354253835,202.0
22022,1610612762,UTA,Utah Jazz,22200930,2023-02-28,UTA vs. SAS,1610612759,SAS,San Antonio Spurs,SAS @ UTA,41.50743494423792,88.15985130111524,0.4719261152416357,12.591542750929367,35.01254646840149,0.3592509293680297,17.778345724907062,22.830390334572492,0.7784377323420075,10.427044609665428,34.02555762081784,44.45260223048327,25.2067843866171,7.506970260223048,4.830855018587361,13.879646840148698,19.860130111524164,113.38475836431226,2.3559479553903344,40.70864312267658,88.08689591078067,0.4631886617100372,12.149628252788103,34.4567843866171,0.3513378252788104,17.46189591078067,22.486524163568774,0.7774326208178439,10.352230483271375,33.26951672862454,43.62174721189591,24.397769516728623,7.479553903345725,4.5487918215613385,14.092007434944238,19.947026022304833,111.02881040892193,-2.3559479553903344,196.0
22022,1610612737,ATL,Atlanta Hawks,22200923,2023-02-28,ATL vs. WAS,1610612764,WAS,Washington Wizards,WAS @ ATL,41.50209010682768,88.15838365071993,0.47187087784486764,12.590339061774268,35.012076172782166,0.35922062238736646,17.78123548536925,22.83650719925685,0.7783859730608453,10.428704133766837,34.027403622851836,44.45610775661867,25.202043660009288,7.507199256850906,4.832791453785416,13.882489549465861,19.857872735717603,113.37575476079888,2.351137947050627,40.70784951230841,88.0882489549466,0.46317278216442176,12.14770088248955,34.45285647933117,0.35131769623780773,17.461216906641894,22.48769159312587,0.77736878773804,10.351602415234556,33.270784951230844,43.6223873664654,24.397120297259637,7.480260102183,4.549001393404552,14.091964700418021,19.947979563399908,111.02461681374825,-2.351137947050627,235.0
22022,1610612763,MEM,Memphis Grizzlies,22200927,2023-02-28,MEM vs. LAL,1610612747,LAL,Los Angeles Lakers,LAL @ MEM,41.50278551532033,88.1606313834726,0.4718662952646239,12.590529247910863,35.01207056638812,0.3592260909935005,17.78087279480037,22.8347260909935,0.7784401114206128,10.429897864438255,34.02506963788301,44.45496750232126,25.20009285051068,7.505571030640668,4.833797585886723,13.880222841225626,19.856545961002787,113.3769730733519,2.3486536675951717,40.71123491179201,88.09238625812442,0.4631875580315692,12.144846796657381,34.44661095636026,0.3512873723305478,17.46100278551532,22.48653667595172,0.7774025069637883,10.354224698235841,33.270194986072426,43.624419684308265,24.394614670380687,7.479572887650882,4.549210770659239,14.089600742804086,19.945682451253482,111.02831940575673,-2.3486536675951717,230.0
22022,1610612744,GSW,Golden State Warriors,22200931,2023-02-28,GSW vs. POR,1610612757,POR,Portland Trail Blazers,POR @ GSW,41.50719257540603,88.17169373549883,0.4718584686774942,12.587470997679814,35.01020881670534,0.3591494199535963,17.778654292343386,22.83201856148492,0.7784338747099768,10.43155452436195,34.024593967517404,44.45614849187935,25.2,7.508120649651972,4.834338747099768,13.877030162412993,19.85522041763341,113.38051044083527,2.3531322505800465,40.70997679814385,88.09141531322506,0.46317772621809744,12.145243619489559,34.446403712296984,0.3513016241299304,17.46218097447796,22.48677494199536,0.777445475638051,10.355916473317865,33.274245939675176,43.63016241299304,24.393503480278422,7.478422273781902,4.5517401392111365,14.095127610208817,19.94524361948956,111.02737819025522,-2.3531322505800465,228.0
22022,1610612746,LAC,LA Clippers,22200932,2023-02-28,LAC vs. MIN,1610612750,MIN,Minnesota Timberwolves,MIN @ LAC,41.51066790352505,88.17300556586271,0.471889146567718,12.587198515769945,35.007884972170686,0.35916836734693874,17.77643784786642,22.828849721706863,0.7784499072356215,10.432282003710576,34.02458256029685,44.45686456400742,25.20408163265306,7.5069573283859,4.833024118738405,13.878942486085343,19.85482374768089,113.38497217068645,2.3603896103896105,40.7082560296846,88.0904452690167,0.46316233766233766,12.145176252319109,34.44851576994434,0.35128153988868277,17.462894248608535,22.486549165120593,0.7774856215213358,10.355287569573283,33.26994434137291,43.6252319109462,24.394248608534323,7.478664192949907,4.551484230055658,14.094619666048237,19.943877551020407,111.02458256029685,-2.3603896103896105,209.0
22022,1610612742,DAL,Dallas Mavericks,22200929,2023-02-28,DAL vs. IND,1610612754,IND,Indiana Pacers,IND @ DAL,41.5076495132128,88.17060732498841,0.47186601761706076,12.586462679647658,35.00463606861381,0.35918405192396846,17.777468706536858,22.82892906815021,0.7784923504867872,10.431617987946222,34.0250347705146,44.45665275846083,25.2035234121465,7.5085767269355586,4.83217431617988,13.884098284654613,19.85350023180343,113.37923041261011,2.356050069541029,40.70931849791377,88.09133055169217,0.4631692165044043,12.14371812702828,34.4445989800649,0.3512790913305517,17.46082522021326,22.486323597589244,0.7773991655076494,10.355122855818266,33.2712100139082,43.626332869726475,24.39313861845155,7.481687528975429,4.553082985628187,14.096893834028744,19.943903569772832,111.02318034306907,-2.356050069541029,246.0
22022,1610612751,BKN,Brooklyn Nets,22200924,2023-02-28,BKN vs. MIL,1610612749,MIL,Milwaukee Bucks,MIL @ BKN,41.5097312326228,88.17191844300278,0.47188137164040783,12.586190917516218,35.00556070435589,0.3591677479147358,17.777571825764596,22.83132530120482,0.778429564411492,10.430954587581093,34.0227062094532,44.45366079703429,25.204819277108435,7.507414272474514,4.831325301204819,13.880908248378129,19.857738646895275,113.38322520852641,2.3540315106580167,40.709453197405004,88.08665430954588,0.46319833178869324,12.14318813716404,34.441612604263206,0.35129842446709914,17.467099165894346,22.494439295644113,0.7773980537534755,10.352641334569045,33.27247451343837,43.62511584800741,24.393419833178868,7.479610750695088,4.554680259499537,14.094531974050046,19.943466172381836,111.0291936978684,-2.3540315106580167,222.0
